Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,StdFinalIoU,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection,StdActionsPerDetection
1,49449,49449,99.98,0.7097,0.0952,3,0.00,0.00,0.00,4.10,4.77
2,95081,95081,86.87,0.6817,0.1343,5,22.61,42.12,24.14,3.78,4.45
3,142731,142731,84.13,0.6804,0.1323,8,33.48,52.79,33.40,3.94,4.92
4,191539,191539,81.76,0.6754,0.1415,27,44.76,59.76,38.15,4.04,5.39
5,245792,245792,83.46,0.6776,0.1458,47,46.12,64.97,43.82,4.48,6.03
6,303841,303841,86.28,0.6874,0.1525,59,49.01,72.98,47.24,4.80,6.33
7,362460,362460,82.82,0.6806,0.1683,90,62.91,73.84,47.37,4.86,6.82
8,450546,450546,86.03,0.6917,0.1772,305,55.85,79.32,48.09,7.28,10.05
9,500000,563487,86.29,0.7049,0.1938,524,65.68,84.81,48.44,9.33,12.29
10,500000,672399,85.97,0.7100,0.1912,507,65.68,84.38,49.55,8.98,11.92
11,500000,770801,86.58,0.7158,0.1853,384,68.23,84.55,51.15,8.18,10.83
12,500000,866039,87.11,0.7186,0.1854,312,70.05,84.96,51.41,7.90,10.28
13,500000,963707,86.98,0.7161,0.1905,351,69.88,85.23,51.24,8.04,10.44
14,500000,1062099,87.54,0.7183,0.1855,313,68.95,85.30,51.32,8.12,10.33
15,500000,1157685,88.40,0.7223,0.1846,274,70.01,86.27,51.68,7.90,9.95
16,500000,1250145,88.18,0.7219,0.1812,233,71.28,85.84,51.76,7.66,9.57
17,500000,1346940,87.60,0.7186,0.1852,237,69.37,84.66,51.63,8.00,9.69
18,500000,1439385,87.38,0.7222,0.1826,212,70.78,84.42,51.73,7.68,9.37
19,500000,1531077,87.44,0.7217,0.1824,197,71.13,84.31,52.14,7.59,9.31
20,500000,1623906,87.44,0.7212,0.1826,222,70.09,84.38,52.48,7.67,9.31
21,500000,1717716,86.98,0.7198,0.1841,189,70.04,83.29,51.91,7.77,9.30
22,500000,1811567,87.35,0.7217,0.1805,178,70.02,83.72,52.16,7.79,9.27
23,500000,1905132,87.57,0.7229,0.1829,198,70.74,84.53,52.71,7.73,9.20
24,500000,1998393,88.77,0.7251,0.1788,163,68.92,85.44,52.57,7.75,9.04
25,500000,2090015,87.89,0.7215,0.1850,170,69.98,84.51,51.89,7.59,8.99
26,500000,2186195,87.71,0.7199,0.1828,153,69.43,83.92,52.01,7.94,9.07
27,500000,2280692,88.27,0.7229,0.1789,163,69.55,84.75,52.00,7.84,8.99
28,500000,2377942,88.16,0.7230,0.1803,197,68.54,84.83,52.14,8.04,9.30
29,500000,2475637,88.16,0.7233,0.1804,207,68.65,84.96,51.60,8.09,9.35
30,500000,2572723,88.30,0.7236,0.1808,206,68.74,85.19,52.13,8.03,9.41
31,500000,2669370,88.43,0.7260,0.1787,194,67.66,84.88,52.37,8.00,9.23
32,500000,2768743,87.95,0.7215,0.1845,191,67.28,84.17,51.37,8.21,9.51
33,500000,2867053,88.81,0.7246,0.1800,206,68.16,85.81,51.57,8.13,9.45
34,500000,2962661,88.65,0.7252,0.1777,210,68.20,85.56,52.14,7.91,9.36
35,500000,3062033,88.33,0.7223,0.1816,178,68.49,84.78,51.77,8.20,9.31
36,500000,3160412,88.48,0.7244,0.1804,182,67.89,84.93,52.15,8.14,9.38
37,500000,3258395,88.12,0.7245,0.1799,177,68.93,84.52,51.61,8.12,9.31
38,500000,3356079,87.84,0.7223,0.1832,161,68.75,84.07,52.03,8.08,9.13
39,500000,3454716,87.67,0.7227,0.1814,188,69.02,84.12,52.02,8.15,9.30
40,500000,3553391,87.90,0.7220,0.1819,189,67.96,84.13,52.44,8.14,9.30
41,500000,3653038,87.85,0.7222,0.1822,190,68.38,84.19,52.26,8.20,9.44
42,500000,3749342,88.13,0.7235,0.1819,171,69.35,84.62,52.14,7.96,9.17
43,500000,3849029,87.58,0.7210,0.1855,183,68.93,83.92,51.88,8.21,9.45
44,500000,3947547,87.80,0.7242,0.1791,183,70.15,84.38,52.44,8.15,9.27
45,500000,4055283,87.97,0.7222,0.1831,266,66.84,84.73,51.18,8.87,10.29
46,500000,4160262,87.73,0.7216,0.1819,251,67.77,84.58,51.24,8.69,10.15
47,500000,4262072,87.48,0.7213,0.1849,196,69.61,84.06,51.53,8.42,9.67
48,500000,4363251,87.34,0.7227,0.1843,196,70.30,83.94,51.88,8.36,9.52
49,500000,4464588,87.52,0.7212,0.1833,219,69.68,84.19,51.31,8.39,9.64
50,500000,4566939,87.48,0.7234,0.1823,193,70.36,84.03,51.54,8.46,9.63
