Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection
1,99946,99946,99.98,0.7093,5,0.00,0.00,0.00,4.13
2,227134,227134,99.36,0.7072,47,0.68,29.88,32.33,5.26
3,397735,397735,97.63,0.7004,311,1.68,29.06,34.57,7.05
4,500000,613102,96.28,0.6984,829,0.83,44.00,39.92,8.91
5,500000,909152,92.59,0.6906,1837,0.93,70.09,42.24,12.24
6,500000,1411091,84.53,0.6771,4343,2.08,81.08,42.81,20.76
7,500000,1880256,86.95,0.6901,3698,2.91,86.20,44.72,19.40
8,500000,2329545,88.62,0.6982,3261,3.63,89.19,45.57,18.58
9,500000,2767617,89.65,0.7031,3009,4.62,91.59,46.16,18.11
10,500000,3189292,90.20,0.7083,2793,6.57,90.94,46.98,17.44
11,500000,3604769,90.55,0.7109,2677,8.34,91.87,47.08,17.18
12,500000,4006384,91.11,0.7142,2508,9.61,92.17,47.22,16.61
13,500000,4400655,91.36,0.7155,2348,12.04,91.62,47.45,16.30
14,500000,4787957,91.25,0.7180,2306,14.50,91.79,47.90,16.01
15,500000,5167866,91.39,0.7182,2236,16.67,92.63,48.21,15.71
16,500000,5541594,91.59,0.7208,2173,19.05,92.99,48.30,15.45
17,500000,5912021,91.47,0.7212,2126,20.05,92.45,48.32,15.32
18,500000,6273174,91.37,0.7218,2056,23.18,91.80,48.48,14.93
19,500000,6628195,91.43,0.7234,2018,24.93,92.27,48.74,14.68
20,500000,6981158,91.58,0.7236,1906,26.87,91.89,48.62,14.59
21,500000,7335837,91.27,0.7231,2055,27.30,92.08,49.10,14.67
22,500000,7689420,91.18,0.7234,1985,29.48,91.68,48.80,14.62
23,500000,8035901,90.67,0.7233,1971,31.51,91.00,48.98,14.33
24,500000,8382256,90.71,0.7236,1962,32.83,91.17,48.98,14.32
25,500000,8728901,90.08,0.7219,2056,34.18,90.89,49.14,14.33
