Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection
1,99538,99538,99.98,0.7092,7,0.00,0.00,0.00,4.12
2,189313,189313,84.41,0.6785,9,30.20,48.49,32.66,3.71
3,290684,290684,84.13,0.6813,54,39.39,60.24,43.18,4.19
4,449695,449695,95.61,0.7091,305,13.74,76.89,50.09,6.58
5,500000,645424,93.78,0.7169,738,30.60,89.18,50.44,8.09
6,500000,879699,87.47,0.7148,1288,62.44,87.50,50.34,9.69
7,500000,1109016,89.16,0.7218,1107,61.67,89.03,51.00,9.48
8,500000,1329988,89.08,0.7231,1015,62.92,88.63,51.65,9.14
9,500000,1554041,89.20,0.7250,977,62.51,88.48,51.40,9.26
10,500000,1771398,89.66,0.7253,810,63.24,88.36,51.00,8.99
11,500000,1988724,89.56,0.7258,757,62.72,87.86,51.56,8.99
12,500000,2203244,89.38,0.7263,740,63.41,87.60,51.67,8.87
13,500000,2421912,89.82,0.7275,774,62.05,88.08,51.52,9.04
14,500000,2644258,89.64,0.7269,783,61.43,87.71,51.17,9.19
15,500000,2867386,90.11,0.7293,801,61.69,88.67,51.49,9.23
16,500000,3087197,90.14,0.7304,730,61.87,88.23,51.75,9.09
17,500000,3316604,90.04,0.7294,826,63.55,88.91,51.34,9.49
18,500000,3551335,89.64,0.7286,886,64.82,88.75,50.85,9.71
19,500000,3793600,89.44,0.7297,911,67.10,88.65,50.53,10.02
20,500000,4043332,89.10,0.7296,1040,69.64,88.97,50.43,10.33
